t_s,pwm_cmd,omega_real_rad_s
4.500000,-0.700000,5.08759928
4.520000,-0.700000,4.92861223
4.540000,-0.700000,5.08759928
4.560000,-0.700000,4.92861223
4.580000,-0.700000,5.08759928
4.600000,-0.700000,4.92861223
4.620000,-0.700000,5.08759928
4.640000,-0.700000,4.92861223
4.660000,-0.700000,4.92861223
4.680000,-0.700000,5.08759928
4.700000,-0.700000,4.92861223
4.720000,-0.700000,5.08759928
4.740000,-0.700000,4.92861223
4.760000,-0.700000,5.08759928
4.780000,-0.700000,4.92861223
4.800000,-0.700000,5.08759928
4.820000,-0.700000,4.92861223
4.840000,-0.700000,5.08759928
4.860000,-0.700000,4.92861223
4.880000,-0.700000,5.08759928
4.900000,-0.700000,4.92861223
4.920000,-0.700000,5.08759928
4.940000,-0.700000,4.92861223
4.960000,-0.700000,5.08759928
4.980000,-0.700000,4.92861223
5.000000,-0.700000,5.08759928
5.020000,-0.700000,4.92861223
5.040000,-0.700000,5.08759928
5.060000,-0.700000,4.92861223
5.080000,-0.700000,4.92861223
5.100000,-0.700000,5.08759928
5.120000,-0.700000,4.92861223
5.140000,-0.700000,4.92861223
5.160000,-0.700000,5.08759928
5.180000,-0.700000,4.92861223
5.200000,-0.700000,5.08759928
5.220000,-0.700000,4.92861223
5.240000,-0.700000,4.92861223
5.260000,-0.700000,5.08759928
5.280000,-0.700000,4.92861223
5.300000,-0.700000,5.08759928
5.320000,-0.700000,4.92861223
5.340000,-0.700000,4.92861223
5.360000,-0.700000,5.08759928
5.380000,-0.700000,4.92861223
5.400000,-0.700000,5.08759928
5.420000,-0.700000,4.92861223
5.440000,-0.700000,4.92861223
5.460000,-0.700000,5.08759928
5.480000,-0.700000,4.92861223
5.500000,-0.700000,5.08759928
5.520000,-0.700000,4.92861223
5.540000,-0.700000,5.08759928
5.560000,-0.700000,4.92861223
5.580000,-0.700000,4.92861223
5.600000,-0.700000,5.08759928
5.620000,-0.700000,4.92861223
5.640000,-0.700000,4.92861223
5.660000,-0.700000,5.08759928
5.680000,-0.700000,4.92861223
5.700000,-0.700000,5.08759928
5.720000,-0.700000,4.92861223
5.740000,-0.700000,5.08759928
5.760000,-0.700000,4.92861223
5.780000,-0.700000,4.92861223
5.800000,-0.700000,5.08759928
5.820000,-0.700000,4.92861223
5.840000,-0.700000,5.08759928
5.860000,-0.700000,4.92861223
5.880000,-0.700000,5.08759928
5.900000,-0.700000,4.92861223
5.920000,-0.700000,4.92861223
5.940000,-0.700000,5.08759928
5.960000,-0.700000,4.92861223
5.980000,-0.700000,4.92861223
6.000000,-0.700000,5.08759928
6.020000,-0.700000,4.92861223
6.040000,-0.700000,5.08759928
6.060000,-0.700000,4.92861223
6.080000,-0.700000,4.92861223
6.100000,-0.700000,5.08759928
6.120000,-0.700000,4.92861223
6.140000,-0.700000,5.08759928
6.160000,-0.700000,4.92861223
6.180000,-0.700000,4.92861223
6.200000,-0.700000,5.08759928
6.220000,-0.700000,4.92861223
6.240000,-0.700000,5.08759928
6.260000,-0.700000,4.92861223
6.280000,-0.700000,4.92861223
6.300000,-0.700000,5.08759928
6.320000,-0.700000,4.92861223
6.340000,-0.700000,5.08759928
6.360000,-0.700000,4.92861223
6.380000,-0.700000,4.92861223
6.400000,-0.700000,5.08759928
6.420000,-0.700000,4.92861223
6.440000,-0.700000,5.08759928
6.460000,-0.700000,4.92861223
6.480000,-0.700000,4.92861223
6.500000,-0.700000,5.08759928
6.520000,-0.700000,4.92861223
6.540000,-0.700000,5.08759928
6.560000,-0.700000,4.92861223
6.580000,-0.700000,4.92861223
6.600000,-0.700000,5.08759928
6.620000,-0.700000,4.92861223
6.640000,-0.700000,5.08759928
6.660000,-0.700000,4.92861223
6.680000,-0.700000,4.92861223
6.700000,-0.700000,5.08759928
6.720000,-0.700000,4.92861223
6.740000,-0.700000,5.08759928
6.760000,-0.700000,4.92861223
6.780000,-0.700000,5.08759928
6.800000,-0.700000,4.92861223
6.820000,-0.700000,4.92861223
6.840000,-0.700000,5.08759928
6.860000,-0.700000,4.92861223
6.880000,-0.700000,5.08759928
6.900000,-0.700000,4.92861223
6.920000,-0.700000,5.08759928
6.940000,-0.700000,4.92861223
6.960000,-0.700000,5.08759928
6.980000,-0.700000,4.92861223
