phi0_omega_k,phi1_u_k,y_omega_k1
-4.76962471,0.28999990,-4.45164967
-4.45164967,0.24999991,-3.97468710
-3.97468710,0.28999990,-3.65671229
-3.65671229,0.32999989,-3.33873725
-3.33873725,0.36999989,-3.17974973
-3.17974973,0.40999988,-2.70278740
-2.70278740,0.44999987,-2.54379964
-2.54379964,0.48999986,-2.38481236
-2.38481236,0.52999985,-2.06683731
-2.06683731,0.56999987,-2.06683731
-2.06683731,0.60999990,-2.06683731
-2.06683731,0.64999992,-2.54379964
-2.54379964,0.68999994,-3.49772453
-3.49772453,0.69999999,-4.29266214
-4.29266214,0.69999999,-4.61063719
-4.61063719,0.69999999,-4.92861223
-4.92861223,0.69999999,-4.92861223
-4.92861223,0.69999999,-4.92861223
-4.92861223,0.69999999,-5.08759928
-5.08759928,0.69999999,-5.08759928
-5.08759928,0.69999999,-4.92861223
-4.92861223,0.69999999,-5.08759928
-5.08759928,0.69999999,-5.08759928
-5.08759928,0.69999999,-5.08759928
-5.08759928,0.65999997,-5.08759928
-5.08759928,0.61999995,-4.61063719
-4.61063719,0.57999992,-4.61063719
-4.61063719,0.53999990,-4.13367462
-4.13367462,0.49999991,-3.97468710
-3.97468710,0.45999992,-3.65671229
-3.65671229,0.41999993,-3.49772453
-3.49772453,0.37999994,-3.17974973
-3.17974973,0.33999994,-2.86177468
-2.86177468,0.29999995,-2.54379964
-2.54379964,0.25999996,-2.22582483
-2.22582483,0.21999997,-2.06683731
-2.06683731,0.17999998,-1.58987486
-1.58987486,0.13999999,-1.43088734
-1.43088734,0.09999999,-0.95392495
-0.95392495,0.05999999,-0.79493743
-0.79493743,0.01999999,-0.47696248
-0.47696248,-0.02000001,0.15898748
0.15898748,-0.06000001,0.00000000
0.00000000,-0.10000001,0.15898748
0.15898748,-0.14000002,0.00000000
0.00000000,-0.18000001,0.00000000
0.00000000,-0.22000000,0.00000000
0.00000000,-0.25999999,0.00000000
0.00000000,-0.29999998,0.00000000
0.00000000,-0.33999997,0.00000000
0.00000000,-0.37999997,0.00000000
0.00000000,-0.41999996,0.00000000
0.00000000,-0.45999995,0.00000000
0.00000000,-0.49999994,0.00000000
0.00000000,-0.53999996,0.15898748
0.15898748,-0.57999998,0.47696248
0.47696248,-0.62000000,1.58987486
1.58987486,-0.66000003,2.38481236
2.38481236,-0.70000005,3.49772453
3.49772453,-0.74000007,4.45164967
4.45164967,-0.78000009,5.56456184
5.56456184,-0.82000011,6.67747450
6.67747450,-0.85000002,7.63139963
7.63139963,-0.85000002,8.42633629
8.42633629,-0.85000002,8.74431133
8.74431133,-0.85000002,8.74431133
8.74431133,-0.85000002,8.90329933
