t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,error_rad_s,u_eff,pwm_cmd,delta_cnt,position_cnt
2.300,8.000000,7.790387,7.786663,0.213337,-0.535695,0.791063,-49,-5054
2.320,8.000000,7.790387,7.787221,0.212779,-0.535691,0.791061,-49,-5103
2.340,8.000000,7.790387,7.787696,0.212304,-0.535689,0.791060,-49,-5152
2.360,8.000000,7.790387,7.788099,0.211901,-0.535686,0.791059,-49,-5201
2.380,8.000000,7.790387,7.788442,0.211558,-0.535684,0.791058,-49,-5250
2.400,8.000000,7.790387,7.788733,0.211267,-0.535682,0.791057,-49,-5299
2.420,8.000000,7.790387,7.788981,0.211019,-0.535681,0.791056,-49,-5348
2.440,8.000000,7.790387,7.789192,0.210808,-0.535680,0.791056,-49,-5397
2.460,8.000000,7.790387,7.789371,0.210629,-0.535679,0.791055,-49,-5446
2.480,8.000000,7.790387,7.789523,0.210477,-0.535678,0.791055,-49,-5495
2.500,8.000000,7.790387,7.789652,0.210348,-0.535677,0.791055,-49,-5544
2.520,8.000000,7.790387,7.789762,0.210238,-0.535676,0.791054,-49,-5593
2.540,8.000000,7.949374,7.813704,0.186296,-0.535532,0.790989,-50,-5643
2.560,8.000000,7.631400,7.786358,0.213642,-0.535697,0.791063,-48,-5691
2.580,8.000000,7.949374,7.810811,0.189189,-0.535549,0.790997,-50,-5741
2.600,8.000000,7.790387,7.807747,0.192253,-0.535568,0.791005,-49,-5790
2.620,8.000000,7.790387,7.805143,0.194857,-0.535583,0.791012,-49,-5839
2.640,8.000000,7.790387,7.802929,0.197071,-0.535597,0.791018,-49,-5888
2.660,8.000000,7.790387,7.801048,0.198952,-0.535608,0.791024,-49,-5937
2.680,8.000000,7.790387,7.799448,0.200552,-0.535618,0.791028,-49,-5986
2.700,8.000000,7.790387,7.798089,0.201911,-0.535626,0.791032,-49,-6035
2.720,8.000000,7.790387,7.796934,0.203066,-0.535633,0.791035,-49,-6084
2.740,8.000000,7.790387,7.795951,0.204049,-0.535639,0.791037,-49,-6133
2.760,8.000000,7.949374,7.818965,0.181035,-0.535500,0.790975,-50,-6183
2.780,8.000000,7.790387,7.814678,0.185322,-0.535526,0.790987,-49,-6232
2.800,8.000000,7.790387,7.811034,0.188966,-0.535548,0.790996,-49,-6281
2.820,8.000000,7.790387,7.807937,0.192063,-0.535566,0.791005,-49,-6330
2.840,8.000000,7.790387,7.805304,0.194696,-0.535582,0.791012,-49,-6379
2.860,8.000000,7.790387,7.803066,0.196934,-0.535596,0.791018,-49,-6428
2.880,8.000000,7.790387,7.801164,0.198836,-0.535607,0.791023,-49,-6477
2.900,8.000000,7.790387,7.799547,0.200453,-0.535617,0.791028,-49,-6526
2.920,8.000000,7.790387,7.798173,0.201827,-0.535625,0.791031,-49,-6575
2.940,8.000000,7.790387,7.797005,0.202995,-0.535632,0.791035,-49,-6624
2.960,8.000000,7.949374,7.819860,0.180140,-0.535494,0.790972,-50,-6674
2.980,8.000000,7.790387,7.815439,0.184561,-0.535521,0.790985,-49,-6723
3.000,8.000000,7.790387,7.811681,0.188319,-0.535544,0.790995,-49,-6772
3.020,8.000000,7.790387,7.808487,0.191513,-0.535563,0.791003,-49,-6821
3.040,8.000000,7.790387,7.805772,0.194228,-0.535580,0.791011,-49,-6870
3.060,8.000000,7.790387,7.803464,0.196536,-0.535593,0.791017,-49,-6919
3.080,8.000000,7.790387,7.801502,0.198498,-0.535605,0.791022,-49,-6968
3.100,8.000000,7.790387,7.799835,0.200165,-0.535615,0.791027,-49,-7017
3.120,8.000000,7.790387,7.798418,0.201582,-0.535624,0.791031,-49,-7066
3.140,8.000000,7.949374,7.821061,0.178939,-0.535487,0.790969,-50,-7116
3.160,8.000000,7.790387,7.816460,0.183540,-0.535515,0.790982,-49,-7165
3.180,8.000000,7.790387,7.812549,0.187451,-0.535539,0.790992,-49,-7214
3.200,8.000000,7.790387,7.809224,0.190776,-0.535559,0.791001,-49,-7263
3.220,8.000000,7.790387,7.806398,0.193602,-0.535576,0.791009,-49,-7312
3.240,8.000000,7.790387,7.803997,0.196003,-0.535590,0.791016,-49,-7361
3.260,8.000000,7.790387,7.801955,0.198045,-0.535603,0.791021,-49,-7410
3.280,8.000000,7.790387,7.800220,0.199780,-0.535613,0.791026,-49,-7459
3.300,8.000000,7.790387,7.798744,0.201256,-0.535622,0.791030,-49,-7508
3.320,8.000000,7.790387,7.797491,0.202509,-0.535629,0.791033,-49,-7557
3.340,8.000000,7.790387,7.796425,0.203575,-0.535636,0.791036,-49,-7606
