k,t_k1_s,pwm_k,u_eff_k,omega_k_rad_s,omega_k1_rad_s
258,5.180000,0.700000,0.333333,-5.24658728,-5.24658728
259,5.200000,0.700000,0.333333,-5.24658728,-5.24658728
260,5.220000,0.700000,0.333333,-5.24658728,-5.24658728
261,5.240000,0.700000,0.333333,-5.24658728,-5.24658728
262,5.260000,0.700000,0.333333,-5.24658728,-5.40557480
263,5.280000,0.700000,0.333333,-5.40557480,-5.24658728
264,5.300000,0.700000,0.333333,-5.24658728,-5.08759928
265,5.320000,0.700000,0.333333,-5.08759928,-5.40557480
266,5.340000,0.700000,0.333333,-5.40557480,-5.24658728
267,5.360000,0.700000,0.333333,-5.24658728,-5.24658728
268,5.380000,0.700000,0.333333,-5.24658728,-5.24658728
269,5.400000,0.700000,0.333333,-5.24658728,-5.24658728
270,5.420000,0.700000,0.333333,-5.24658728,-5.24658728
271,5.440000,0.700000,0.333333,-5.24658728,-5.24658728
272,5.460000,0.700000,0.333333,-5.24658728,-5.24658728
273,5.480000,0.700000,0.333333,-5.24658728,-5.24658728
274,5.500000,0.700000,0.333333,-5.24658728,-5.24658728
275,5.520000,0.700000,0.333333,-5.24658728,-5.24658728
276,5.540000,0.700000,0.333333,-5.24658728,-5.24658728
277,5.560000,0.700000,0.333333,-5.24658728,-5.24658728
278,5.580000,0.700000,0.333333,-5.24658728,-5.24658728
279,5.600000,0.700000,0.333333,-5.24658728,-5.40557480
280,5.620000,0.700000,0.333333,-5.40557480,-5.24658728
281,5.640000,0.700000,0.333333,-5.24658728,-5.24658728
282,5.660000,0.700000,0.333333,-5.24658728,-5.24658728
283,5.680000,0.700000,0.333333,-5.24658728,-5.24658728
284,5.700000,0.700000,0.333333,-5.24658728,-5.24658728
285,5.720000,0.700000,0.333333,-5.24658728,-5.24658728
286,5.740000,0.700000,0.333333,-5.24658728,-5.24658728
287,5.760000,0.700000,0.333333,-5.24658728,-5.24658728
288,5.780000,0.700000,0.333333,-5.24658728,-5.24658728
289,5.800000,0.700000,0.333333,-5.24658728,-5.24658728
290,5.820000,0.700000,0.333333,-5.24658728,-5.24658728
291,5.840000,0.700000,0.333333,-5.24658728,-5.24658728
292,5.860000,0.700000,0.333333,-5.24658728,-5.24658728
293,5.880000,0.700000,0.333333,-5.24658728,-5.24658728
294,5.900000,0.700000,0.333333,-5.24658728,-5.24658728
295,5.920000,0.700000,0.333333,-5.24658728,-5.40557480
296,5.940000,0.700000,0.333333,-5.40557480,-5.08759928
297,5.960000,0.700000,0.333333,-5.08759928,-5.24658728
298,5.980000,0.700000,0.333333,-5.24658728,-5.40557480
299,6.000000,0.700000,0.333333,-5.40557480,-5.24658728
300,6.020000,0.000000,0.000000,-5.24658728,-5.08759928
301,6.040000,0.000000,0.000000,-5.08759928,-4.92861223
302,6.060000,0.000000,0.000000,-4.92861223,-4.45164967
303,6.080000,0.000000,0.000000,-4.45164967,-4.13367462
304,6.100000,0.000000,0.000000,-4.13367462,-3.81569982
305,6.120000,0.000000,0.000000,-3.81569982,-3.33873725
306,6.140000,0.000000,0.000000,-3.33873725,-3.02076221
307,6.160000,0.000000,0.000000,-3.02076221,-2.54379964
308,6.180000,0.000000,0.000000,-2.54379964,-2.38481236
309,6.200000,0.000000,0.000000,-2.38481236,-1.90784991
310,6.220000,0.000000,0.000000,-1.90784991,-1.74886227
311,6.240000,0.000000,0.000000,-1.74886227,-1.27189982
312,6.260000,0.000000,0.000000,-1.27189982,-1.11291242
313,6.280000,0.000000,0.000000,-1.11291242,-0.63594991
314,6.300000,0.000000,0.000000,-0.63594991,-0.31797495
315,6.320000,0.000000,0.000000,-0.31797495,0.00000000
316,6.340000,0.000000,0.000000,0.00000000,0.00000000
317,6.360000,0.000000,0.000000,0.00000000,0.00000000
318,6.380000,0.000000,0.000000,0.00000000,0.00000000
319,6.400000,0.000000,0.000000,0.00000000,0.00000000
320,6.420000,0.000000,0.000000,0.00000000,0.00000000
321,6.440000,0.000000,0.000000,0.00000000,0.00000000
322,6.460000,0.000000,0.000000,0.00000000,0.00000000
323,6.480000,0.000000,0.000000,0.00000000,0.00000000
324,6.500000,0.000000,0.000000,0.00000000,0.00000000
325,6.520000,0.000000,0.000000,0.00000000,0.00000000
326,6.540000,0.000000,0.000000,0.00000000,0.00000000
327,6.560000,0.000000,0.000000,0.00000000,0.00000000
328,6.580000,0.000000,0.000000,0.00000000,0.00000000
329,6.600000,0.000000,0.000000,0.00000000,0.00000000
330,6.620000,0.000000,0.000000,0.00000000,0.00000000
331,6.640000,0.000000,0.000000,0.00000000,0.00000000
332,6.660000,0.000000,0.000000,0.00000000,0.00000000
333,6.680000,0.000000,0.000000,0.00000000,0.00000000
334,6.700000,0.000000,0.000000,0.00000000,0.00000000
335,6.720000,0.000000,0.000000,0.00000000,0.00000000
336,6.740000,0.000000,0.000000,0.00000000,0.00000000
337,6.760000,0.000000,0.000000,0.00000000,0.00000000
338,6.780000,0.000000,0.000000,0.00000000,0.00000000
339,6.800000,0.000000,0.000000,0.00000000,0.00000000
340,6.820000,0.000000,0.000000,0.00000000,0.00000000
341,6.840000,0.000000,0.000000,0.00000000,0.00000000
342,6.860000,0.000000,0.000000,0.00000000,0.00000000
343,6.880000,0.000000,0.000000,0.00000000,0.00000000
344,6.900000,0.000000,0.000000,0.00000000,0.00000000
345,6.920000,0.000000,0.000000,0.00000000,0.00000000
346,6.940000,0.000000,0.000000,0.00000000,0.00000000
347,6.960000,0.000000,0.000000,0.00000000,0.00000000
348,6.980000,0.000000,0.000000,0.00000000,0.00000000
349,7.000000,0.000000,0.000000,0.00000000,0.00000000
350,7.020000,0.000000,0.000000,0.00000000,0.00000000
351,7.040000,0.000000,0.000000,0.00000000,0.00000000
352,7.060000,0.000000,0.000000,0.00000000,0.00000000
353,7.080000,0.000000,0.000000,0.00000000,0.00000000
354,7.100000,0.000000,0.000000,0.00000000,0.00000000
355,7.120000,0.000000,0.000000,0.00000000,0.00000000
356,7.140000,0.000000,0.000000,0.00000000,0.00000000
357,7.160000,0.000000,0.000000,0.00000000,0.00000000
358,7.180000,0.000000,0.000000,0.00000000,0.00000000
359,7.200000,0.000000,0.000000,0.00000000,0.00000000
360,7.220000,0.000000,0.000000,0.00000000,0.00000000
361,7.240000,0.000000,0.000000,0.00000000,0.00000000
362,7.260000,0.000000,0.000000,0.00000000,0.00000000
363,7.280000,0.000000,0.000000,0.00000000,0.00000000
364,7.300000,0.000000,0.000000,0.00000000,0.00000000
365,7.320000,0.000000,0.000000,0.00000000,0.00000000
366,7.340000,0.000000,0.000000,0.00000000,0.00000000
367,7.360000,0.000000,0.000000,0.00000000,0.00000000
368,7.380000,0.000000,0.000000,0.00000000,0.00000000
369,7.400000,0.000000,0.000000,0.00000000,0.00000000
370,7.420000,0.000000,0.000000,0.00000000,0.00000000
371,7.440000,0.000000,0.000000,0.00000000,0.00000000
372,7.460000,0.000000,0.000000,0.00000000,0.00000000
373,7.480000,0.000000,0.000000,0.00000000,0.00000000
374,7.500000,0.000000,0.000000,0.00000000,0.00000000
375,7.520000,0.000000,0.000000,0.00000000,0.00000000
376,7.540000,0.000000,0.000000,0.00000000,0.00000000
377,7.560000,0.000000,0.000000,0.00000000,0.00000000
378,7.580000,0.000000,0.000000,0.00000000,0.00000000
379,7.600000,0.000000,0.000000,0.00000000,0.00000000
380,7.620000,0.000000,0.000000,0.00000000,0.00000000
381,7.640000,0.000000,0.000000,0.00000000,0.00000000
382,7.660000,0.000000,0.000000,0.00000000,0.00000000
383,7.680000,0.000000,0.000000,0.00000000,0.00000000
384,7.700000,0.000000,0.000000,0.00000000,0.00000000
385,7.720000,0.000000,0.000000,0.00000000,0.00000000
386,7.740000,0.000000,0.000000,0.00000000,0.00000000
387,7.760000,0.000000,0.000000,0.00000000,0.00000000
388,7.780000,0.000000,0.000000,0.00000000,0.00000000
389,7.800000,0.000000,0.000000,0.00000000,0.00000000
390,7.820000,0.000000,0.000000,0.00000000,0.00000000
391,7.840000,0.000000,0.000000,0.00000000,0.00000000
392,7.860000,0.000000,0.000000,0.00000000,0.00000000
393,7.880000,0.000000,0.000000,0.00000000,0.00000000
394,7.900000,0.000000,0.000000,0.00000000,0.00000000
395,7.920000,0.000000,0.000000,0.00000000,0.00000000
396,7.940000,0.000000,0.000000,0.00000000,0.00000000
397,7.960000,0.000000,0.000000,0.00000000,0.00000000
398,7.980000,0.000000,0.000000,0.00000000,0.00000000
399,8.000000,0.000000,0.000000,0.00000000,0.00000000
400,8.020000,-0.700000,-0.333333,0.00000000,0.31797495
401,8.040000,-0.700000,-0.333333,0.31797495,2.70278740
402,8.059999,-0.700000,-0.333333,2.70278740,3.97468710
403,8.080000,-0.700000,-0.333333,3.97468710,4.45164967
404,8.099999,-0.700000,-0.333333,4.45164967,4.76962471
405,8.120000,-0.700000,-0.333333,4.76962471,4.92861223
406,8.139999,-0.700000,-0.333333,4.92861223,4.92861223
407,8.160000,-0.700000,-0.333333,4.92861223,5.08759928
408,8.179999,-0.700000,-0.333333,5.08759928,4.92861223
409,8.200000,-0.700000,-0.333333,4.92861223,5.08759928
410,8.220000,-0.700000,-0.333333,5.08759928,4.92861223
411,8.240000,-0.700000,-0.333333,4.92861223,5.08759928
412,8.260000,-0.700000,-0.333333,5.08759928,5.08759928
413,8.280000,-0.700000,-0.333333,5.08759928,4.92861223
414,8.300000,-0.700000,-0.333333,4.92861223,5.08759928
415,8.320000,-0.700000,-0.333333,5.08759928,5.08759928
416,8.340000,-0.700000,-0.333333,5.08759928,4.92861223
417,8.360000,-0.700000,-0.333333,4.92861223,4.92861223
418,8.380000,-0.700000,-0.333333,4.92861223,5.08759928
419,8.400000,-0.700000,-0.333333,5.08759928,5.08759928
420,8.420000,-0.700000,-0.333333,5.08759928,5.08759928
421,8.440000,-0.700000,-0.333333,5.08759928,4.92861223
422,8.460000,-0.700000,-0.333333,4.92861223,5.08759928
423,8.480000,-0.700000,-0.333333,5.08759928,5.08759928
424,8.500000,-0.700000,-0.333333,5.08759928,5.08759928
425,8.520000,-0.700000,-0.333333,5.08759928,5.08759928
426,8.540000,-0.700000,-0.333333,5.08759928,4.92861223
427,8.559999,-0.700000,-0.333333,4.92861223,5.08759928
428,8.580000,-0.700000,-0.333333,5.08759928,5.08759928
429,8.599999,-0.700000,-0.333333,5.08759928,5.08759928
430,8.620000,-0.700000,-0.333333,5.08759928,5.08759928
431,8.639999,-0.700000,-0.333333,5.08759928,4.92861223
432,8.660000,-0.700000,-0.333333,4.92861223,5.08759928
433,8.679999,-0.700000,-0.333333,5.08759928,5.08759928
434,8.700000,-0.700000,-0.333333,5.08759928,5.08759928
435,8.720000,-0.700000,-0.333333,5.08759928,5.08759928
436,8.740000,-0.700000,-0.333333,5.08759928,5.08759928
437,8.760000,-0.700000,-0.333333,5.08759928,4.92861223
438,8.780000,-0.700000,-0.333333,4.92861223,5.08759928
439,8.800000,-0.700000,-0.333333,5.08759928,5.08759928
440,8.820000,-0.700000,-0.333333,5.08759928,5.08759928
